nb_pieces,lien,titre,surface,nb_chambres,annee_constr,nb_features_int,features_int,features_ext,terrain,prix,type,villes,piscine,place_parking,cuisine_amenagee,ascenseur,sous_sol,balcons,terrasses,caves,garages
1,https://www.laforet.com/agence-immobiliere/paris10saintmartin/acheter/paris-10/appartement-1-piece-21479417,Appartement T1 Paris 10,9,1,1800,2,Cuisine Kitchenet,,0,99000,Appartement,Paris 10,0,0,0,0,0,0,0,0,0
6,https://www.laforet.com/agence-immobiliere/saint-malo-saint-servan/acheter/miniac-morvan/maison-6-pieces-21479416,Maison T6 pres de Miniac-Morvan,145,3,1985,2,Cuisine Amenagee/equipee,,1,116300,Maison,Miniac-Morvan,0,0,1,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/paris10saintmartin/acheter/paris-10/appartement-2-pieces-21479409,Appartement T2 Paris 10,37,1,1880,4,"Cuisine Amenagee/equipee, 1 cave(s)",,0,380000,Appartement,Paris 10,0,0,1,0,0,0,0,1,0
2,https://www.laforet.com/agence-immobiliere/paris10saintmartin/acheter/paris-10/appartement-2-pieces-21479403,Appartement T2 Paris 10,33,1,1850,4,"Cuisine Amenagee, 1 cave(s)",,0,351000,Appartement,Paris 10,0,0,1,0,0,0,0,1,0
4,https://www.laforet.com/agence-immobiliere/saint-malo-saint-servan/acheter/saint-malo/appartement-4-pieces-21479398,Appartement T4 Saint-Malo,82,2,0,4,"Cuisine Amenagee/equipee, 1 cave(s)",,0,282960,Appartement,Saint-Malo,0,0,1,0,0,0,0,1,0
2,https://www.laforet.com/agence-immobiliere/paris10saintmartin/acheter/paris-10/appartement-2-pieces-21479373,Appartement T2 Paris 10,27,1,1850,4,"Cuisine Amenagee/equipee, 1 cave(s)",,0,300000,Appartement,Paris 10,0,0,1,0,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/marseille6/acheter/marseille-01/appartement-1-piece-21479200,Appartement T1 pres de Marseille 01,32,1,0,0,,,0,105000,Appartement,Marseille 01,0,0,0,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/marseille6/acheter/marseille-12/appartement-4-pieces-21479161,Appartement T4 pres de Marseille 12,90,3,1990,10,"Cuisine Independante, Avec ascenseur, 2 balcon(s), 1 cave(s), Avec sous-sol",,0,199900,Appartement,Marseille 12,0,0,0,1,1,2,0,1,0
6,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/grand-bourgtheroulde/maison-6-pieces-21479088,Maison T6 pres de Grand Bourgtheroulde,193,5,1968,8,"Cuisine Independante, 1 terrasse(s), 1 cave(s), 2 garage(s)",Avec piscine,1,424000,Maison,Grand Bourgtheroulde,1,0,0,0,0,0,1,1,2
4,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/tourville-la-riviere/maison-4-pieces-21479086,Maison T4 Tourville-la-Riviere,92,3,2021,4,"2 terrasse(s), 1 garage(s)",,1,289000,Maison,Tourville-la-Riviere,0,0,0,0,0,0,2,0,1
