nb_pieces,lien,titre,surface,nb_chambres,annee_constr,nb_features_int,features_int,features_ext,terrain,prix,type,villes,piscine,place_parking,cuisine_amenagee,ascenseur,sous_sol,balcons,terrasses,caves,garages
2,https://www.laforet.com/agence-immobiliere/paris10saintmartin/acheter/paris-19/appartement-2-pieces-21472751,Appartement T2 Paris 19,39,1,1865,4,"Cuisine Americaine, 1 cave(s)",,0,292000,Appartement,Paris 19,0,0,0,0,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/paris11couronnes/acheter/paris-11/appartement-3-pieces-21472745,Appartement T3 Paris 11,48,1,1880,2,1 cave(s),,0,593000,Appartement,Paris 11,0,0,0,0,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/paris11nation/acheter/paris-11/appartement-3-pieces-21472662,Appartement T3 pres de Paris 11,64,1,0,2,Cuisine Independante,,0,599999,Appartement,Paris 11,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/paris11nation/acheter/paris-12/appartement-3-pieces-21472660,Appartement T3 pres de Paris 12,64,1,0,2,Cuisine Independante,,0,599999,Appartement,Paris 12,0,0,0,0,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/antony/acheter/antony/appartement-1-piece-21472650,Appartement T1 Antony,27,1,0,2,1 cave(s),,0,178500,Appartement,Antony,0,0,0,0,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/paris11bastille/acheter/paris-11/appartement-1-piece-21472561,Appartement T1 pres de Paris 11,20,1,0,4,"Cuisine Kitchenet, Avec ascenseur",,0,184000,Appartement,Paris 11,0,0,0,1,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/paris11bastille/acheter/paris-11/appartement-1-piece-21472560,Appartement T1 pres de Paris 11,13,1,1930,2,Cuisine Americaine,,0,140000,Appartement,Paris 11,0,0,0,0,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/paris11bastille/acheter/paris-11/appartement-1-piece-21472559,Appartement T1 pres de Paris 11,12,1,1930,2,Cuisine Americaine,,0,150000,Appartement,Paris 11,0,0,0,0,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/paris4-marais/acheter/paris-03/appartement-1-piece-21472515,Appartement T1 pres de Paris 03,47,1,0,0,,,0,545000,Appartement,Paris 03,0,0,0,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/paris20avron/acheter/paris-11/appartement-4-pieces-21472503,Appartement T4 Paris 11,91,2,1970,6,"Avec ascenseur, 2 balcon(s), 1 cave(s)",,0,945000,Appartement,Paris 11,0,0,0,1,0,2,0,1,0
4,https://www.laforet.com/agence-immobiliere/paris20avron/acheter/paris-11/appartement-4-pieces-21472502,Appartement T4 Paris 11,91,2,1970,6,"Avec ascenseur, 2 balcon(s), 1 cave(s)",,0,945000,Appartement,Paris 11,0,0,0,1,0,2,0,1,0
6,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/grand-bourgtheroulde/maison-6-pieces-21472501,Maison T6 pres de Grand Bourgtheroulde,193,5,1968,8,"Cuisine Independante, 1 terrasse(s), 1 cave(s), 2 garage(s)",Avec piscine,1,424000,Maison,Grand Bourgtheroulde,1,0,0,0,0,0,1,1,2
3,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/elbeuf/appartement-3-pieces-21472493,Appartement T3 Elbeuf,64,2,0,2,1 cave(s),,0,92000,Appartement,Elbeuf,0,0,0,0,0,0,0,1,0
6,https://www.laforet.com/agence-immobiliere/plerin/acheter/treveneuc/maison-6-pieces-21472490,Maison T6 Treveneuc,104,4,2021,4,"Cuisine Amenagee/equipee, 2 terrasse(s)",,1,418000,Maison,Treveneuc,0,0,1,0,0,0,2,0,0
4,https://www.laforet.com/agence-immobiliere/lyon8/acheter/lyon-03/appartement-4-pieces-21472464,Appartement T4 Lyon 03,102,3,2001,10,"Cuisine Amenagee/equipee, Avec ascenseur, 2 balcon(s), 1 cave(s), 1 garage(s)",,0,565000,Appartement,Lyon 03,0,0,1,1,0,2,0,1,1
6,https://www.laforet.com/agence-immobiliere/villejuif/acheter/villejuif/maison-6-pieces-21472415,Maison T6 Villejuif,108,3,1990,12,"Cuisine Independante, 1 balcon(s), 2 terrasse(s), 1 cave(s), Avec sous-sol, 1 garage(s)",,1,620000,Maison,Villejuif,0,0,0,0,1,1,2,1,1
2,https://www.laforet.com/agence-immobiliere/paris11parmentier/acheter/paris-11/appartement-2-pieces-21472392,Appartement T2 Paris 11,37,1,1895,2,Cuisine Amenagee/equipee,,0,386000,Appartement,Paris 11,0,0,1,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/paris11parmentier/acheter/paris-11/appartement-2-pieces-21472390,Appartement T2 Paris 11,28,1,1890,2,1 cave(s),,0,299000,Appartement,Paris 11,0,0,0,0,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/paris11parmentier/acheter/paris-11/appartement-1-piece-21472388,Appartement T1 Paris 11,19,1,1860,2,Cuisine Ouverte,,0,245000,Appartement,Paris 11,0,0,0,0,0,0,0,0,0
5,https://www.laforet.com/agence-immobiliere/colombes/acheter/colombes/maison-5-pieces-21472375,Maison T5 Colombes,120,3,1970,2,Cuisine Amenagee/equipee,,1,799900,Maison,Colombes,0,0,1,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/orival/maison-4-pieces-21472359,Maison T4 Orival,90,3,0,4,"Cuisine Amenagee/equipee, 2 garage(s)",,1,180000,Maison,Orival,0,0,1,0,0,0,0,0,2
3,https://www.laforet.com/agence-immobiliere/paris20avron/acheter/paris-19/appartement-3-pieces-21472349,Appartement T3 Paris 19,92,2,0,8,"Cuisine Independante, Avec ascenseur, 1 balcon(s), 1 cave(s)",,0,699000,Appartement,Paris 19,0,0,0,1,0,1,0,1,0
3,https://www.laforet.com/agence-immobiliere/paris20avron/acheter/paris-20/appartement-3-pieces-21472341,Appartement T3 Paris 20,54,2,0,4,"Cuisine Independante, Avec ascenseur",,0,435000,Appartement,Paris 20,0,0,0,1,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/paris20avron/acheter/paris-20/appartement-2-pieces-21472338,Appartement T2 Paris 20,28,1,0,2,Cuisine Ouverte,,0,270000,Appartement,Paris 20,0,0,0,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/saintgenislaval/acheter/saint-genis-laval/appartement-4-pieces-21472321,Appartement T4 Saint-Genis-Laval,90,2,0,8,"Cuisine Independante, 1 balcon(s), 1 cave(s), 1 garage(s)",,0,294000,Appartement,Saint-Genis-Laval,0,0,0,0,0,1,0,1,1
4,https://www.laforet.com/agence-immobiliere/maisonsalfort/acheter/maisons-alfort/appartement-4-pieces-21472210,Appartement T4 pres de Maisons-Alfort,85,3,1972,6,"Avec ascenseur, 1 balcon(s), 1 cave(s)",,0,395000,Appartement,Maisons-Alfort,0,0,0,1,0,1,0,1,0
2,https://www.laforet.com/agence-immobiliere/lespavillonssousbois/acheter/les-pavillons-sous-bois/appartement-2-pieces-21472208,Appartement T2 Les Pavillons-sous-Bois,53,1,1970,6,"1 cave(s), Avec sous-sol, 1 garage(s)",,0,160000,Appartement,Les Pavillons-sous-Bois,0,0,0,0,1,0,0,1,1
1,https://www.laforet.com/agence-immobiliere/paris15vaugirard/acheter/paris-15/appartement-1-piece-21472018,Appartement T1 pres de Paris 15,20,1,1861,4,"Cuisine Kitchenet, 1 cave(s)",,0,233275,Appartement,Paris 15,0,0,0,0,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/paris15vaugirard/acheter/paris-15/appartement-3-pieces-21472017,Appartement T3 Paris 15,59,2,0,2,Cuisine Americaine,,0,526400,Appartement,Paris 15,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/nanterre-mont-valerien/acheter/nanterre/appartement-3-pieces-21472008,Appartement T3 Nanterre,74,2,1950,2,1 cave(s),,0,275000,Appartement,Nanterre,0,0,0,0,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/paris14boulard/acheter/clamart/appartement-3-pieces-21471961,Appartement T3 Clamart,56,2,1960,4,"Cuisine Independante, 1 cave(s)",,0,335000,Appartement,Clamart,0,0,0,0,0,0,0,1,0
6,https://www.laforet.com/agence-immobiliere/mouy/acheter/bury/maison-6-pieces-21471947,Maison T6 pres de Bury,156,3,0,2,Cuisine Amenagee/equipee,,1,293000,Maison,Bury,0,0,1,0,0,0,0,0,0
5,https://www.laforet.com/agence-immobiliere/mouy/acheter/mouy/maison-5-pieces-21471940,Maison T5 Mouy,118,4,0,2,Cuisine Amenagee,,1,184500,Maison,Mouy,0,0,1,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/mouy/acheter/mouy/maison-3-pieces-21471934,Maison T3 pres de Mouy,43,1,0,0,,,1,78900,Maison,Mouy,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/colombes/acheter/colombes/appartement-3-pieces-21471920,Appartement T3 Colombes,70,2,1968,8,"1 balcon(s), 1 cave(s), Avec sous-sol, 1 garage(s)",,0,285000,Appartement,Colombes,0,0,0,0,1,1,0,1,1
5,https://www.laforet.com/agence-immobiliere/rouen-droite/acheter/rouen/maison-5-pieces-21471906,Maison T5 pres de Rouen,177,3,2020,4,"1 terrasse(s), 1 garage(s)",,1,459000,Maison,Rouen,0,0,0,0,0,0,1,0,1
1,https://www.laforet.com/agence-immobiliere/villejuif/acheter/villejuif/appartement-1-piece-21471907,Appartement T1 Villejuif,29,1,2006,6,"Cuisine Amenagee/equipee, Avec ascenseur, Avec sous-sol",,0,116000,Appartement,Villejuif,0,0,1,1,1,0,0,0,0
5,https://www.laforet.com/agence-immobiliere/rouen-droite/acheter/auzouville-sur-ry/maison-5-pieces-21471904,Maison T5 Auzouville-sur-Ry,177,3,2020,4,"1 terrasse(s), 1 garage(s)",,1,459000,Maison,Auzouville-sur-Ry,0,0,0,0,0,0,1,0,1
5,https://www.laforet.com/agence-immobiliere/beaumont-de-lomagne/acheter/beaumont-de-lomagne/maison-5-pieces-21471873,Maison T5 pres de Beaumont-de-Lomagne,123,4,1970,4,"1 balcon(s), 1 terrasse(s)",Avec piscine,1,368000,Maison,Beaumont-de-Lomagne,1,0,0,0,0,1,1,0,0
3,https://www.laforet.com/agence-immobiliere/bondy/acheter/bondy/appartement-3-pieces-21471858,Appartement T3 Bondy,76,2,1980,6,"Cuisine Equipee, 2 balcon(s), 1 cave(s)",1 place(s) int.,1,242000,Appartement,Bondy,0,1,0,0,0,2,0,1,0
7,https://www.laforet.com/agence-immobiliere/louhans/acheter/louhans/maison-7-pieces-21471704,Maison T7 pres de Louhans,140,5,1967,4,"Cuisine Independante, 2 garage(s)",,1,177500,Maison,Louhans,0,0,0,0,0,0,0,0,2
3,https://www.laforet.com/agence-immobiliere/villemomble/acheter/les-pavillons-sous-bois/maison-3-pieces-21471670,Maison T3 Les Pavillons-sous-Bois,70,2,1930,6,"Cuisine Americaine, Avec sous-sol, 1 garage(s)",,1,326000,Maison,Les Pavillons-sous-Bois,0,0,0,0,1,0,0,0,1
1,https://www.laforet.com/agence-immobiliere/bompas/acheter/canet-en-roussillon/appartement-1-piece-21471617,Appartement T1 Canet-en-Roussillon,19,1,1987,6,"Cuisine Amenagee/equipee, Avec ascenseur, 1 terrasse(s)",,1,99000,Appartement,Canet-en-Roussillon,0,0,1,1,0,0,1,0,0
1,https://www.laforet.com/agence-immobiliere/canet-en-roussillon/acheter/canet-en-roussillon/appartement-1-piece-21471615,Appartement T1 pres de Canet-en-Roussillon,23,1,1965,8,"Cuisine Amenagee/equipee, 1 terrasse(s), 1 cave(s), Meuble",,1,77000,Appartement,Canet-en-Roussillon,0,0,1,0,0,0,1,1,0
3,https://www.laforet.com/agence-immobiliere/saintgillescroixdevie/acheter/saint-gilles-croix-de-vie/appartement-3-pieces-21471609,Appartement T3 Saint-Gilles-Croix-de-Vie,57,2,2011,8,"Cuisine Amenagee/equipee, Avec ascenseur, 1 balcon(s), 1 garage(s)",,0,254600,Appartement,Saint-Gilles-Croix-de-Vie,0,0,1,1,0,1,0,0,1
3,https://www.laforet.com/agence-immobiliere/clermont/acheter/laigneville/appartement-3-pieces-21471593,Appartement T3 Laigneville,62,1,0,0,,,0,129000,Appartement,Laigneville,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/paris15saintcharles/acheter/clichy/appartement-3-pieces-21471294,Appartement T3 Clichy,62,2,1974,6,"Avec ascenseur, 1 balcon(s), 1 cave(s)",,0,395000,Appartement,Clichy,0,0,0,1,0,1,0,1,0
7,https://www.laforet.com/agence-immobiliere/saintlaurentduvar/acheter/la-gaude/maison-7-pieces-21471291,Maison T7 La Gaude,180,4,0,0,,,1,760000,Maison,La Gaude,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/paris15lourmel/acheter/paris-15/appartement-3-pieces-21471286,Appartement T3 Paris 15,54,1,0,6,"Cuisine Amenagee/equipee, Avec ascenseur, 1 balcon(s)",,0,620000,Appartement,Paris 15,0,0,1,1,0,1,0,0,0
4,https://www.laforet.com/agence-immobiliere/vanves/acheter/paris-17/appartement-4-pieces-21471274,Appartement T4 pres de Paris 17,68,3,0,4,"Avec ascenseur, 1 cave(s)",,0,850000,Appartement,Paris 17,0,0,0,1,0,0,0,1,0
4,https://www.laforet.com/agence-immobiliere/saintandredecubzac/acheter/saint-andre-de-cubzac/maison-4-pieces-21471201,Maison T4 Saint-Andre-de-Cubzac,83,3,2010,4,"Cuisine Independante, 1 garage(s)",,1,224000,Maison,Saint-Andre-de-Cubzac,0,0,0,0,0,0,0,0,1
6,https://www.laforet.com/agence-immobiliere/laguiole/acheter/argences-en-aubrac/maison-6-pieces-21471131,Maison T6 Argences en Aubrac,178,4,1970,8,"Cuisine Amenagee/equipee, 1 balcon(s), 1 terrasse(s), 1 garage(s)","1 place(s) int., 1 place(s) ext.",1,195000,Maison,Argences en Aubrac,0,2,1,0,0,1,1,0,1
3,https://www.laforet.com/agence-immobiliere/neufchateau/acheter/villouxel/maison-3-pieces-21471053,Maison T3 Villouxel,87,2,1989,12,"Cuisine Amenagee/equipee, 1 balcon(s), 1 terrasse(s), 1 cave(s), Avec sous-sol, 1 garage(s)",,1,175000,Maison,Villouxel,0,0,1,0,1,1,1,1,1
2,https://www.laforet.com/agence-immobiliere/saint-ouen/acheter/saint-ouen/appartement-2-pieces-21471041,Appartement T2 pres de Saint-Ouen,20,1,0,4,"Cuisine Ouverte, 1 cave(s)",,0,157000,Appartement,Saint-Ouen,0,0,0,0,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/leslilas/acheter/les-lilas/appartement-1-piece-21471004,Appartement T1 Les Lilas,19,1,0,0,,,0,155000,Appartement,Les Lilas,0,0,0,0,0,0,0,0,0
6,https://www.laforet.com/agence-immobiliere/plaisir/acheter/houdan/maison-6-pieces-21470986,Maison T6 pres de Houdan,124,4,1980,10,"Cuisine Independante, 1 terrasse(s), 1 cave(s), Avec sous-sol, 1 garage(s)",,1,310000,Maison,Houdan,0,0,0,0,1,0,1,1,1
3,https://www.laforet.com/agence-immobiliere/clermont/acheter/breuil-le-vert/maison-3-pieces-21470979,Maison T3 pres de Breuil-le-Vert,38,1,0,2,Cuisine Amenagee/equipee,,1,108000,Maison,Breuil-le-Vert,0,0,1,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/dijon-monge/acheter/dijon/appartement-4-pieces-21470976,Appartement T4 Dijon,58,2,1961,4,"Cuisine Amenagee, 1 cave(s)",,0,109000,Appartement,Dijon,0,0,1,0,0,0,0,1,0
5,https://www.laforet.com/agence-immobiliere/mouy/acheter/avrechy/maison-5-pieces-21470914,Maison T5 pres de Avrechy,96,3,0,4,"Cuisine Amenagee, 2 cave(s)",,1,84900,Maison,Avrechy,0,0,1,0,0,0,0,2,0
1,https://www.laforet.com/agence-immobiliere/rambouillet/acheter/rambouillet/appartement-1-piece-21470839,Appartement T1 Rambouillet,31,1,2000,6,"Cuisine Americaine, 1 cave(s), 1 garage(s)",,0,152000,Appartement,Rambouillet,0,0,0,0,0,0,0,1,1
2,https://www.laforet.com/agence-immobiliere/saint-maur/acheter/saint-maur-des-fosses/appartement-2-pieces-21470820,Appartement T2 Saint-Maur-des-Fosses,44,1,1957,4,"Cuisine Independante, 1 cave(s)",,0,205000,Appartement,Saint-Maur-des-Fosses,0,0,0,0,0,0,0,1,0
4,https://www.laforet.com/agence-immobiliere/antony/acheter/antony/appartement-4-pieces-21470819,Appartement T4 Antony,73,2,1960,6,"Cuisine Independante, Avec ascenseur, 1 cave(s)",,0,349000,Appartement,Antony,0,0,0,1,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/paris15felixfaure/acheter/paris-15/appartement-3-pieces-21470759,Appartement T3 Paris 15,62,2,1905,8,"Cuisine Amenagee/equipee, Avec ascenseur, 1 balcon(s), 2 cave(s)",,0,647900,Appartement,Paris 15,0,0,1,1,0,1,0,2,0
7,https://www.laforet.com/agence-immobiliere/jarny/acheter/marange-silvange/maison-7-pieces-21470745,Maison T7 Marange-Silvange,115,4,1962,6,"Cuisine Amenagee, 1 terrasse(s), 1 cave(s)",,1,273000,Maison,Marange-Silvange,0,0,1,0,0,0,1,1,0
4,https://www.laforet.com/agence-immobiliere/armentieres/acheter/estaires/maison-4-pieces-21470736,Maison T4 pres de Estaires,81,3,2021,6,"Cuisine Equipee, 1 terrasse(s), 1 garage(s)",,1,227900,Maison,Estaires,0,0,0,0,0,0,1,0,1
4,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/tourville-la-riviere/maison-4-pieces-21470674,Maison T4 Tourville-la-Riviere,92,3,2021,4,"2 terrasse(s), 1 garage(s)",,1,289000,Maison,Tourville-la-Riviere,0,0,0,0,0,0,2,0,1
2,https://www.laforet.com/agence-immobiliere/saintquentin/acheter/saint-quentin/appartement-2-pieces-21470637,Appartement T2 pres de Saint-Quentin,54,1,1970,8,"Cuisine Amenagee, Avec ascenseur, 1 balcon(s), 1 cave(s)",,1,54000,Appartement,Saint-Quentin,0,0,1,1,0,1,0,1,0
4,https://www.laforet.com/agence-immobiliere/saint-malo-saint-servan/acheter/saint-malo/appartement-4-pieces-21470563,Appartement T4 Saint-Malo,82,2,0,4,"Cuisine Amenagee/equipee, 1 cave(s)",,0,314400,Appartement,Saint-Malo,0,0,1,0,0,0,0,1,0
5,https://www.laforet.com/agence-immobiliere/saint-malo-saint-servan/acheter/chateauneuf-d-ille-et-vilaine/maison-5-pieces-21470559,Maison T5 Cha¢teauneuf-d'Ille-et-Vilaine,99,4,2012,4,"Cuisine Amenagee/equipee, 1 terrasse(s)",,1,298680,Maison,Cha¢teauneuf-d'Ille-et-Vilaine,0,0,1,0,0,0,1,0,0
6,https://www.laforet.com/agence-immobiliere/nanterre/acheter/nanterre/maison-6-pieces-21470482,Maison T6 Nanterre,167,3,2004,2,Cuisine Amenagee/equipee,,1,1050000,Maison,Nanterre,0,0,1,0,0,0,0,0,0
7,https://www.laforet.com/agence-immobiliere/saint-malo-parame/acheter/la-fresnais/maison-7-pieces-21470459,Maison T7 La Fresnais,290,5,0,4,"Cuisine Amenagee/equipee, 2 terrasse(s)",,1,827920,Maison,La Fresnais,0,0,1,0,0,0,2,0,0
6,https://www.laforet.com/agence-immobiliere/saint-malo-parame/acheter/saint-meloir-des-ondes/maison-6-pieces-21470449,Maison T6 Saint-Meloir-des-Ondes,134,5,2023,0,,,1,471600,Maison,Saint-Meloir-des-Ondes,0,0,0,0,0,0,0,0,0
5,https://www.laforet.com/agence-immobiliere/saint-malo-parame/acheter/pleudihen-sur-rance/maison-5-pieces-21470433,Maison T5 pres de Pleudihen-sur-Rance,114,3,0,2,Cuisine Amenagee/equipee,,1,304160,Maison,Pleudihen-sur-Rance,0,0,1,0,0,0,0,0,0
5,https://www.laforet.com/agence-immobiliere/saint-malo-parame/acheter/bonnemain/maison-5-pieces-21470432,Maison T5 Bonnemain,230,4,0,0,,,1,262000,Maison,Bonnemain,0,0,0,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/lekremlin/acheter/le-kremlin-bicetre/appartement-2-pieces-21470388,Appartement T2 Le Kremlin-Bicaªtre,33,1,1930,2,1 cave(s),,0,235000,Appartement,Le Kremlin-Bicaªtre,0,0,0,0,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/guer/acheter/reminiac/maison-3-pieces-21470384,Maison T3 pres de Reminiac,97,2,0,4,"1 terrasse(s), 1 garage(s)",,1,141190,Maison,Reminiac,0,0,0,0,0,0,1,0,1
5,https://www.laforet.com/agence-immobiliere/seclin/acheter/wavrin/maison-5-pieces-21470321,Maison T5 Wavrin,167,4,0,0,,,1,449990,Maison,Wavrin,0,0,0,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/lyon2/acheter/lyon-02/appartement-2-pieces-21470305,Appartement T2 Lyon 02,38,1,0,4,"Cuisine Americaine, 1 cave(s)",,0,265000,Appartement,Lyon 02,0,0,0,0,0,0,0,1,0
2,https://www.laforet.com/agence-immobiliere/lille/acheter/lille/appartement-2-pieces-21470292,Appartement T2 Lille,52,1,1960,2,Avec ascenseur,,0,200000,Appartement,Lille,0,0,0,1,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/corbeil-essonnes/acheter/corbeil-essonnes/maison-4-pieces-21469987,Maison T4 Corbeil-Essonnes,70,3,0,6,"Cuisine Amenagee/equipee, 1 terrasse(s), 1 cave(s)",,1,212000,Maison,Corbeil-Essonnes,0,0,1,0,0,0,1,1,0
1,https://www.laforet.com/agence-immobiliere/lehavre/acheter/montivilliers/appartement-1-piece-21469983,Appartement T1 Montivilliers,36,1,2018,4,"Avec ascenseur, 1 balcon(s)",,0,133500,Appartement,Montivilliers,0,0,0,1,0,1,0,0,0
2,https://www.laforet.com/agence-immobiliere/noisylegrand/acheter/noisy-le-grand/appartement-2-pieces-21469977,Appartement T2 Noisy-le-Grand,50,1,1989,2,Cuisine Independante,,0,179400,Appartement,Noisy-le-Grand,0,0,0,0,0,0,0,0,0
2,https://www.laforet.com/agence-immobiliere/noisylesec/acheter/paris-17/appartement-2-pieces-21469961,Appartement T2 Paris 17,27,1,1860,6,"Cuisine Independante, 2 balcon(s), 1 cave(s)",,0,269000,Appartement,Paris 17,0,0,0,0,0,2,0,1,0
3,https://www.laforet.com/agence-immobiliere/saintgillescroixdevie/acheter/saint-gilles-croix-de-vie/maison-3-pieces-21469944,Maison T3 Saint-Gilles-Croix-de-Vie,44,2,2011,4,"Cuisine Kitchenet, 1 terrasse(s)",Avec piscine,0,139500,Maison,Saint-Gilles-Croix-de-Vie,1,0,0,0,0,0,1,0,0
6,https://www.laforet.com/agence-immobiliere/voves/acheter/les-villages-voveens/maison-6-pieces-21469820,Maison T6 Les Villages Voveens,101,4,0,0,,,1,197400,Maison,Les Villages Voveens,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/saint-pierre-les-elbeuf/appartement-3-pieces-21469819,Appartement T3 pres de Saint-Pierre-les-Elbeuf,56,2,1965,0,,,0,68000,Appartement,Saint-Pierre-les-Elbeuf,0,0,0,0,0,0,0,0,0
9,https://www.laforet.com/agence-immobiliere/orange/acheter/camaret-sur-aigues/maison-9-pieces-21469808,Maison T9 Camaret-sur-Aigues,135,2,0,2,Cuisine Amenagee,,1,295000,Maison,Camaret-sur-Aigues,0,0,1,0,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/elbeuf/acheter/elbeuf/appartement-1-piece-21469800,Appartement T1 Elbeuf,22,1,0,2,Cuisine Amenagee,,0,42000,Appartement,Elbeuf,0,0,1,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/lafarelesoliviers/acheter/vitrolles/appartement-4-pieces-21469789,Appartement T4 pres de Vitrolles,82,3,1975,0,,,1,265000,Appartement,Vitrolles,0,0,0,0,0,0,0,0,0
5,https://www.laforet.com/agence-immobiliere/parthenay/acheter/parthenay/maison-5-pieces-21469768,Maison T5 pres de Parthenay,168,3,0,0,,,1,87150,Maison,Parthenay,0,0,0,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/saintgenislaval/acheter/irigny/appartement-4-pieces-21469766,Appartement T4 Irigny,98,3,0,6,"Cuisine Independante, Avec ascenseur, 1 garage(s)",,0,399000,Appartement,Irigny,0,0,0,1,0,0,0,0,1
5,https://www.laforet.com/agence-immobiliere/orgeval/acheter/feucherolles/maison-5-pieces-21469731,Maison T5 pres de Feucherolles,171,3,2011,6,"1 terrasse(s), Avec sous-sol, 1 garage(s)",,1,1320000,Maison,Feucherolles,0,0,0,0,1,0,1,0,1
4,https://www.laforet.com/agence-immobiliere/lesangles/acheter/saint-laurent-des-arbres/maison-4-pieces-21469729,Maison T4 Saint-Laurent-des-Arbres,140,3,2002,6,"Cuisine Amenagee/equipee, 2 terrasse(s), 1 garage(s)",Avec piscine,1,452000,Maison,Saint-Laurent-des-Arbres,1,0,1,0,0,0,2,0,1
4,https://www.laforet.com/agence-immobiliere/saintquentin/acheter/ramicourt/maison-4-pieces-21469728,Maison T4 pres de Ramicourt,145,2,1930,6,"1 terrasse(s), 1 cave(s), 1 garage(s)",,1,138000,Maison,Ramicourt,0,0,0,0,0,0,1,1,1
3,https://www.laforet.com/agence-immobiliere/issoire/acheter/beaulieu/maison-3-pieces-21469707,Maison T3 pres de Beaulieu,67,2,0,4,"Cuisine Independante, 1 cave(s)",,1,45000,Maison,Beaulieu,0,0,0,0,0,0,0,1,0
2,https://www.laforet.com/agence-immobiliere/colombes/acheter/colombes/maison-2-pieces-21469691,Maison T2 Colombes,45,1,0,4,"Cuisine Amenagee, 1 cave(s)",,1,299900,Maison,Colombes,0,0,1,0,0,0,0,1,0
6,https://www.laforet.com/agence-immobiliere/larbresle/acheter/savigny/maison-6-pieces-21469689,Maison T6 Savigny,160,4,1970,2,Cuisine Independante,,1,520000,Maison,Savigny,0,0,0,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/nanterre/acheter/nanterre/appartement-4-pieces-21469680,Appartement T4 Nanterre,86,3,2015,4,"2 terrasse(s), Avec sous-sol",,0,565000,Appartement,Nanterre,0,0,0,0,1,0,2,0,0
3,https://www.laforet.com/agence-immobiliere/tassin/acheter/tassin-la-demi-lune/appartement-3-pieces-21469670,Appartement T3 Tassin-la-Demi-Lune,63,2,1970,4,"1 balcon(s), 1 cave(s)",,0,265000,Appartement,Tassin-la-Demi-Lune,0,0,0,0,0,1,0,1,0
6,https://www.laforet.com/agence-immobiliere/merignies/acheter/merignies/maison-6-pieces-21469669,Maison T6 Merignies,166,5,2022,2,1 terrasse(s),,1,779000,Maison,Merignies,0,0,0,0,0,0,1,0,0
6,https://www.laforet.com/agence-immobiliere/plateaumontvalerien/acheter/suresnes/maison-6-pieces-21469666,Maison T6 Suresnes,130,5,1930,10,"Cuisine Equipee, 1 terrasse(s), 1 cave(s), Avec sous-sol, 1 garage(s)",,1,925000,Maison,Suresnes,0,0,0,0,1,0,1,1,1
2,https://www.laforet.com/agence-immobiliere/aucamville/acheter/toulouse/appartement-2-pieces-21469664,Appartement T2 pres de Toulouse,47,1,2010,10,"Cuisine Amenagee/equipee, Avec ascenseur, 1 terrasse(s), 1 cave(s), Avec sous-sol",,1,147500,Appartement,Toulouse,0,0,1,1,1,0,1,1,0
5,https://www.laforet.com/agence-immobiliere/louhans/acheter/louhans/maison-5-pieces-21469620,Maison T5 pres de Louhans,98,3,20,6,"Cuisine Ouverte, 1 terrasse(s), 9 cave(s)",,1,98900,Maison,Louhans,0,0,0,0,0,0,1,9,0
